iter	Passed	Remaining
399	40647	60970
400	40751	60873
401	40845	60760
402	40948	60660
403	41048	60556
404	41140	60441
405	41240	60336
406	41351	60249
407	41450	60143
408	41559	60052
409	41657	59945
410	41746	59827
411	41835	59707
412	41917	59577
413	42008	59461
414	42106	59354
415	42216	59265
416	42319	59165
417	42411	59051
418	42511	58948
419	42608	58840
420	42715	58746
421	42819	58648
422	42915	58539
423	43017	58439
424	43123	58342
425	43242	58265
426	43345	58166
427	43455	58076
428	43557	57975
429	43658	57873
430	43762	57774
431	43852	57657
432	43952	57554
433	44072	57477
434	44173	57374
435	44270	57266
436	44378	57173
437	44469	57059
438	44565	56950
439	44656	56836
440	44749	56723
441	44838	56606
442	44941	56506
443	45029	56388
444	45139	56297
445	45234	56188
446	45333	56083
447	45435	55982
448	45530	55873
449	45622	55760
450	45719	55653
451	45817	55548
452	45912	55439
453	46008	55331
454	46107	55227
455	46204	55120
456	46291	55003
457	46388	54895
458	46479	54782
459	46573	54673
460	46669	54566
461	46766	54459
462	46859	54348
463	46955	54241
464	47054	54137
465	47155	54036
466	47264	53944
467	47356	53832
468	47451	53723
469	47542	53611
470	47637	53504
471	47737	53400
472	47838	53300
473	47935	53194
474	48048	53106
475	48148	53003
476	48250	52903
477	48359	52811
478	48460	52709
479	48551	52597
480	48649	52493
481	48742	52382
482	48835	52272
483	48928	52163
484	49013	52045
485	49102	51931
486	49210	51838
487	49301	51726
488	49401	51623
489	49492	51512
490	49587	51405
491	49685	51301
492	49784	51198
493	49880	51092
494	49982	50992
495	50082	50890
496	50178	50784
497	50283	50687
498	50378	50580
499	50479	50479
500	50567	50366
501	50647	50244
502	50750	50145
503	50838	50031
504	50936	49927
505	51046	49835
506	51141	49729
507	51236	49622
508	51331	49515
509	51431	49414
510	51531	49313
511	51624	49205
512	51727	49105
513	51819	48997
514	51915	48891
515	52010	48785
516	52111	48684
517	52214	48585
518	52307	48477
519	52400	48369
520	52494	48262
521	52598	48164
522	52706	48070
523	52797	47961
524	52901	47863
525	53007	47767
526	53108	47666
527	53219	47574
528	53326	47479
529	53427	47378
530	53523	47274
531	53631	47179
532	53730	47076
533	53830	46976
534	53927	46871
535	54024	46767
536	54119	46662
537	54227	46566
538	54319	46458
539	54406	46346
540	54498	46237
541	54594	46133
542	54685	46024
543	54783	45921
544	54894	45829
545	54997	45730
546	55087	45620
547	55184	45517
548	55287	45418
549	55387	45317
550	55479	45209
551	55574	45103
552	55665	44995
553	55768	44896
554	55869	44796
555	55964	44691
556	56058	44585
557	56148	44476
558	56246	44373
559	56349	44274
560	56443	44168
561	56536	44062
562	56629	43956
563	56719	43847
564	56825	43750
565	56925	43649
566	57027	43550
567	57122	43445
568	57212	43336
569	57307	43231
570	57406	43130
571	57496	43021
572	57609	42930
573	57716	42835
574	57819	42736
575	57914	42631
576	58006	42524
577	58101	42419
578	58193	42313
579	58283	42205
580	58378	42101
581	58473	41996
582	58559	41885
583	58670	41792
584	58771	41692
585	58869	41590
586	58958	41481
587	59048	41374
588	59146	41271
589	59248	41172
590	59344	41068
591	59449	40972
592	59547	40870
593	59640	40764
594	59750	40670
595	59845	40566
596	59952	40470
597	60050	40368
598	60159	40273
599	60259	40173
600	60357	40070
601	60457	39970
602	60554	39867
603	60666	39774
604	60762	39671
605	60854	39565
606	60960	39468
607	61060	39367
608	61154	39263
609	61252	39161
610	61356	39063
611	61450	38958
612	61551	38858
613	61652	38758
614	61743	38652
615	61834	38546
616	61929	38442
617	62029	38341
618	62123	38237
619	62217	38133
620	62319	38034
621	62423	37935
622	62524	37835
623	62616	37730
624	62708	37625
625	62814	37528
626	62913	37427
627	63019	37330
628	63131	37236
629	63240	37141
630	63334	37036
631	63432	36935
632	63527	36831
633	63635	36736
634	63731	36633
635	63826	36529
636	63929	36430
637	64014	36321
638	64112	36220
639	64208	36117
640	64312	36019
641	64400	35912
642	64493	35807
643	64594	35707
644	64685	35601
645	64785	35501
646	64890	35403
647	64990	35303
648	65089	35202
649	65183	35098
650	65291	35002
651	65394	34904
652	65501	34807
653	65594	34702
654	65695	34602
655	65792	34501
656	65880	34394
657	65978	34293
658	66081	34193
659	66178	34092
660	66272	33988
661	66370	33887
662	66463	33783
663	66562	33682
664	66650	33576
665	66742	33471
666	66825	33362
667	66926	33263
668	67027	33163
669	67126	33062
670	67224	32961
671	67321	32859
672	67417	32757
673	67518	32657
674	67613	32554
675	67720	32457
676	67822	32358
677	67921	32257
678	68025	32159
679	68132	32062
680	68236	31963
681	68323	31857
682	68427	31759
683	68523	31657
684	68623	31556
685	68735	31461
686	68835	31361
687	68933	31260
688	69019	31154
689	69142	31063
690	69245	30965
691	69330	30857
692	69424	30755
693	69518	30652
694	69611	30549
695	69699	30443
696	69794	30340
697	69888	30238
698	69976	30133
699	70078	30033
700	70180	29934
701	70277	29832
702	70372	29730
703	70460	29625
704	70558	29524
705	70664	29426
706	70760	29325
707	70857	29223
708	70952	29121
709	71045	29018
710	71142	28917
711	71249	28819
712	71346	28718
713	71447	28618
714	71545	28518
715	71644	28417
716	71728	28311
717	71831	28212
718	71927	28110
719	72020	28008
720	72126	27910
721	72212	27804
722	72305	27702
723	72410	27603
724	72501	27500
725	72602	27400
726	72700	27300
727	72797	27199
728	72886	27095
729	72986	26994
730	73086	26894
731	73188	26795
732	73291	26696
733	73394	26597
734	73490	26496
735	73583	26394
736	73685	26294
737	73782	26193
738	73882	26093
739	73982	25993
740	74079	25892
741	74172	25790
742	74269	25689
743	74359	25586
744	74459	25486
745	74558	25385
746	74659	25286
747	74747	25182
748	74852	25084
749	74956	24985
750	75051	24883
751	75149	24783
752	75255	24685
753	75356	24585
754	75443	24481
755	75546	24382
756	75647	24283
757	75757	24186
758	75855	24085
759	75947	23983
760	76055	23886
761	76146	23783
762	76249	23684
763	76348	23583
764	76440	23481
765	76526	23377
766	76620	23275
767	76716	23174
768	76811	23073
769	76910	22973
770	77006	22872
771	77093	22768
772	77187	22667
773	77284	22566
774	77378	22464
775	77469	22362
776	77567	22262
